seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_46,ROI_1,0.0,0.0,0.0,0.0
29,ROI_46,ROI_2,0.0,0.0,0.0,0.0
29,ROI_46,ROI_3,0.0,0.0,0.0,0.0
29,ROI_46,ROI_4,0.0,0.0,0.0,0.0
29,ROI_46,ROI_6,0.0,0.0,0.0,0.0
29,ROI_45,ROI_51,0.0,0.0,0.0,0.0
29,ROI_46,ROI_7,0.0,0.0,0.0,0.0
29,ROI_46,ROI_8,0.0,0.0,0.0,0.0
29,ROI_46,ROI_9,0.0,0.0,0.0,0.0
29,ROI_46,ROI_10,0.0,0.0,0.0,0.0
29,ROI_46,ROI_11,0.0,0.0,0.0,0.0
29,ROI_46,ROI_12,0.0,0.0,0.0,0.0
29,ROI_46,ROI_13,0.0,0.0,0.0,0.0
29,ROI_46,ROI_14,0.0,0.0,0.0,0.0
29,ROI_46,ROI_15,0.0,0.0,0.0,0.0
29,ROI_46,ROI_16,0.0,0.0,0.0,0.0
29,ROI_46,ROI_17,0.0,0.0,0.0,0.0
29,ROI_46,ROI_18,0.0,0.0,0.0,0.0
29,ROI_45,ROI_53,0.0,0.0,0.0,0.0
29,ROI_45,ROI_50,0.0,0.0,0.0,0.0
29,ROI_43,ROI_19,0.0,0.0,0.0,0.0
29,ROI_45,ROI_34,0.0,0.0,0.0,0.0
29,ROI_45,ROI_20,0.0,0.0,0.0,0.0
29,ROI_45,ROI_21,0.0,0.0,0.0,0.0
29,ROI_45,ROI_22,0.0,0.0,0.0,0.0
29,ROI_45,ROI_23,0.0,0.0,0.0,0.0
29,ROI_45,ROI_24,0.0,0.0,0.0,0.0
29,ROI_45,ROI_27,0.0,0.0,0.0,0.0
29,ROI_45,ROI_28,0.0,0.0,0.0,0.0
29,ROI_45,ROI_29,0.0,0.0,0.0,0.0
29,ROI_45,ROI_30,0.0,0.0,0.0,0.0
29,ROI_45,ROI_31,0.0,0.0,0.0,0.0
29,ROI_45,ROI_32,0.0,0.0,0.0,0.0
29,ROI_45,ROI_33,0.0,0.0,0.0,0.0
29,ROI_45,ROI_35,0.0,0.0,0.0,0.0
29,ROI_45,ROI_49,0.0,0.0,0.0,0.0
29,ROI_45,ROI_36,0.0,0.0,0.0,0.0
29,ROI_45,ROI_37,0.0,0.0,0.0,0.0
29,ROI_45,ROI_38,0.0,0.0,0.0,0.0
29,ROI_45,ROI_40,0.0,0.0,0.0,0.0
29,ROI_45,ROI_41,0.0,0.0,0.0,0.0
29,ROI_45,ROI_42,0.0,0.0,0.0,0.0
29,ROI_45,ROI_43,0.0,0.0,0.0,0.0
29,ROI_45,ROI_44,0.0,0.0,0.0,0.0
